strategy,concurrency,repeat,request_id,group,queue_ms,processing_ms,end_to_end_ms,completed_at
fifo,1,3,batch-008,batch,3171.9270999997207,106.7735999999968,3278.7395999998807,2205.6746644
fifo,1,3,batch-012,batch,3278.7380999998277,109.43770000039876,3388.230900000053,2205.7841623
fifo,1,3,critical-008,critical,3388.23100000036,109.29469999973662,3497.5703999998586,2205.8935081
fifo,1,3,batch-002,batch,3497.569199999816,108.07840000006763,3605.7001999997738,2206.0016459
fifo,1,3,standard-017,standard,3605.700799999795,109.74170000008598,3715.487199999643,2206.1114393
fifo,1,3,standard-001,standard,3715.4872999999498,108.75429999987318,3824.283199999627,2206.2202414
fifo,1,3,critical-005,critical,3824.282499999754,111.54249999981403,3935.8987000000525,2206.3318633
fifo,1,3,critical-003,critical,3935.89750000001,107.62809999960155,4043.568099999902,2206.4395394
fifo,1,3,critical-002,critical,4043.5708999998496,109.28539999986242,4153.108500000144,2206.5490862
fifo,1,3,batch-013,batch,4153.107400000408,109.57430000007662,4262.724300000173,2206.6587082
fifo,1,3,batch-014,batch,4262.7213999999185,108.49659999985306,4371.256200000062,2206.7672481
fifo,1,3,standard-002,standard,4371.255099999871,107.83349999974234,4479.12899999983,2206.8751275
fifo,1,3,standard-014,standard,4479.128200000105,108.20779999994556,4587.38779999976,2206.9833925
fifo,1,3,standard-010,standard,4587.38779999976,110.87170000018887,4698.308199999701,2207.094319
fifo,1,3,standard-018,standard,4698.30759999968,106.33000000007087,4804.677999999967,2207.200695
fifo,1,3,batch-000,batch,4804.677600000105,108.8116999999329,4913.529899999958,2207.309553
fifo,2,1,standard-003,standard,15.088999999989028,108.96080000020447,124.18959999968138,2207.4339735
fifo,2,1,standard-020,standard,15.124699999887525,108.9987000000292,124.22950000018318,2207.4340231
fifo,2,1,batch-000,batch,124.179599999934,107.35599999998158,231.6141000001153,2207.5414139
fifo,2,1,standard-014,standard,124.21899999981179,107.32770000004166,231.64120000001276,2207.5414465
fifo,2,1,critical-004,critical,231.60970000026282,108.43419999991966,340.09849999984,2207.6499085
fifo,2,1,standard-008,standard,231.6332999998849,108.45550000021831,340.12929999971675,2207.6499433
fifo,2,1,batch-002,batch,340.0967999996283,107.89810000005673,448.05570000016814,2207.7578738
fifo,2,1,critical-000,critical,340.12170000005426,107.92089999995369,448.0917999999292,2207.7579143
fifo,2,1,standard-013,standard,448.052799999914,111.47600000003877,559.5994999998766,2207.8694267
fifo,2,1,standard-018,standard,448.0843000001187,111.5018999998938,559.6361999996589,2207.8694674
fifo,2,1,standard-006,standard,559.5973999998023,108.54330000029222,668.2253999997556,2207.9780607
fifo,2,1,critical-008,critical,559.6292000000176,108.5957000000235,668.2940000000599,2207.9781331
fifo,2,1,batch-004,batch,668.2258999999249,108.0431000000317,776.4139999999315,2208.0862572
fifo,2,1,batch-012,batch,668.2874999996784,108.10429999992266,776.49190000011,2208.0863395
fifo,2,1,critical-005,critical,776.4028999999937,109.41259999981412,885.928199999853,2208.1957895
fifo,2,1,batch-009,batch,776.4751999998225,109.42279999972016,885.9537000003002,2208.1958198
fifo,2,1,standard-009,standard,885.9238999998524,109.89240000026257,995.8701999998993,2208.3057404
fifo,2,1,standard-011,standard,885.9464000001935,110.0467999999637,996.0350999999719,2208.3059093
fifo,2,1,standard-019,standard,995.9816000000501,107.68700000016906,1104.3332999997801,2208.4142115
fifo,2,1,standard-016,standard,996.0289999999077,107.70580000007612,1104.3776000001344,2208.4142596
fifo,2,1,critical-006,critical,1104.3322000000444,109.14110000021537,1213.5659000000487,2208.5234516
fifo,2,1,critical-001,critical,1104.370999999901,109.15129999966666,1213.5948000000099,2208.5234844
fifo,2,1,batch-006,batch,1213.5644999998476,108.3822999999029,1322.0000000001164,2208.6318935
fifo,2,1,critical-007,critical,1213.5878999997658,108.40159999997923,1322.0321000003423,2208.6319296
fifo,2,1,batch-001,batch,1321.9985000000634,109.01179999973465,1431.0685000000376,2208.7409698
fifo,2,1,standard-002,standard,1322.025300000405,109.03840000037235,1431.1087999999472,2208.7410142
fifo,2,1,standard-012,standard,1431.0679999998683,109.59090000005745,1540.7365999999456,2208.8506458
fifo,2,1,batch-003,batch,1431.1025000001791,109.60850000037681,1540.7725999998547,2208.8506855
fifo,2,1,standard-004,standard,1540.736299999935,108.35950000000594,1649.1667999998754,2208.9590841
fifo,2,1,standard-007,standard,1540.765900000224,108.37859999992361,1649.2035999999644,2208.9591246
fifo,2,1,standard-010,standard,1649.167000000034,109.40270000037344,1758.6419999997815,2209.0685666
fifo,2,1,standard-017,standard,1649.1974000000482,109.42690000001676,1758.6841000002096,2209.0686126
fifo,2,1,batch-007,batch,1758.6427999999614,108.38479999983974,1867.1056999996836,2209.1770377
fifo,2,1,batch-008,batch,1758.6765000000923,108.40699999971548,1867.144400000143,2209.1770818
fifo,2,1,critical-002,critical,1867.1048999999584,110.3424999996605,1977.5233000000298,2209.2874644
fifo,2,1,standard-005,standard,1867.1379000002162,110.36139999987427,1977.5618000003305,2209.2875075
fifo,2,1,batch-013,batch,1977.5230999998712,108.65830000011556,2086.2569999999323,2209.3962063
fifo,2,1,standard-000,standard,1977.5559999998222,108.68089999985386,2086.2998000002335,2209.3962528
fifo,2,1,batch-005,batch,2086.258000000271,108.30600000008417,2194.650399999773,2209.504607
fifo,2,1,critical-003,critical,2086.294199999884,108.34560000012061,2194.706899999801,2209.5046669
fifo,2,1,standard-015,standard,2194.652600000154,108.42580000007729,2303.1753999998728,2209.61314
fifo,2,1,batch-010,batch,2194.7000999998636,108.44300000007934,2303.214200000184,2209.6131823
fifo,2,1,batch-014,batch,2303.1771000000845,110.82919999989826,2414.0785999998116,2209.7240502
fifo,2,1,batch-011,batch,2303.208600000289,110.91780000015206,2414.1852999996445,2209.7241606
fifo,2,1,standard-001,standard,2414.081399999759,108.36699999981647,2522.5878999999622,2209.8325667
fifo,2,2,batch-012,batch,14.840800000001764,107.48569999987012,122.46920000006867,2209.9553164
fifo,2,2,critical-002,critical,14.852799999971467,107.52240000010715,122.51150000020061,2209.955371
fifo,2,2,standard-016,standard,122.45839999968666,107.00110000016139,229.55569999976433,2210.0624223
fifo,2,2,standard-005,standard,122.5005000001147,107.03550000016548,229.60620000003473,2210.0624783
fifo,2,2,critical-007,critical,229.55339999998614,108.37880000008226,338.03060000036567,2210.1709085
fifo,2,2,standard-002,standard,229.59700000001249,108.39719999967201,338.07019999994736,2210.1709531
fifo,2,2,standard-017,standard,338.0279999996674,109.25139999972089,447.35850000006394,2210.2802461
fifo,2,2,standard-012,standard,338.06209999966086,109.29110000006403,447.41149999981644,2210.2803036
fifo,2,2,standard-010,standard,447.3588999999265,109.54399999991438,557.0026000000325,2210.3898992
fifo,2,2,batch-005,batch,447.40390000015395,109.57319999988613,557.0494999997209,2210.3899503
fifo,2,2,batch-003,batch,557.0032999999057,115.9442999996827,673.0379999999059,2210.5059431
fifo,2,2,batch-010,batch,557.042200000069,115.97570000003543,673.0892999999014,2210.5059986
fifo,2,2,critical-005,critical,673.0388999999377,101.23810000004596,774.3739999996251,2210.6072879
fifo,2,2,standard-006,standard,673.0813000003764,101.26140000011219,774.4182999999794,2210.6073369
fifo,2,2,standard-007,standard,774.3726999997307,108.26589999987846,882.7227000001585,2210.7156457
fifo,2,2,standard-015,standard,774.4098999996822,108.29160000002958,882.7658000000156,2210.715694
fifo,2,2,standard-001,standard,882.7212999999574,109.17719999997644,991.9730000001437,2210.8249058
fifo,2,2,standard-000,standard,882.7582999997503,109.20209999994768,992.012700000032,2210.8249497
fifo,2,2,batch-006,batch,991.9715999999426,109.90149999997811,1101.9696999996995,2210.934911
fifo,2,2,batch-004,batch,992.0053000000735,109.85349999964455,1102.0088000000214,2210.9349542
fifo,2,2,batch-011,batch,1101.9682999999532,108.3427000003212,1210.3869000002305,2211.0433363
fifo,2,2,standard-019,standard,1102.0015000003696,108.36719999997513,1210.4288000000452,2211.0433824
fifo,2,2,standard-008,standard,1210.386500000368,105.53530000015598,1316.00490000028,2211.148963
fifo,2,2,critical-003,critical,1210.421100000076,105.55260000000999,1316.0441999998511,2211.1490067
fifo,2,2,batch-009,batch,1316.0021999997298,109.47059999989506,1425.5505999999514,2211.2585175
fifo,2,2,standard-004,standard,1316.0370000000512,109.48849999977028,1425.5846999999449,2211.2585558
fifo,2,2,batch-001,batch,1425.546899999972,108.20849999981874,1533.820299999661,2211.3667981
