scenario,strategy,batch_size,repeat,request_id,request_class,replica,input_tokens,actual_output_tokens,estimated_output_tokens,max_output_tokens,queue_ms,service_ms,end_to_end_ms
empty_pool,least_requests,12,2,req-0007,analysis,replica-1,2096,1001,,2048,0.0,3686.0,3686.0
empty_pool,least_requests,12,2,req-0006,rag,replica-1,1997,127,,700,3686.0,756.1666666666666,4442.166666666667
empty_pool,least_requests,12,2,req-0009,faq,replica-1,297,95,,512,4442.166666666667,366.16666666666663,4808.333333333334
empty_pool,least_requests,12,2,req-0004,faq,replica-1,126,71,,512,4808.333333333334,257.66666666666663,5066.0
empty_pool,least_requests,12,2,req-0010,faq,replica-2,146,59,,512,0.0,220.99999999999997,220.99999999999997
empty_pool,least_requests,12,2,req-0011,faq,replica-2,188,17,,512,220.99999999999997,88.0,308.99999999999994
empty_pool,least_requests,12,2,req-0002,faq,replica-2,201,98,,512,308.99999999999994,360.16666666666663,669.1666666666666
empty_pool,least_requests,12,2,req-0000,rag,replica-2,769,427,,700,669.1666666666666,1551.5,2220.666666666667
empty_pool,least_requests,12,2,req-0001,faq,replica-3,117,67,,512,0.0,242.83333333333331,242.83333333333331
empty_pool,least_requests,12,2,req-0005,rag,replica-3,1025,220,,700,242.83333333333331,904.1666666666665,1146.9999999999998
empty_pool,least_requests,12,2,req-0003,analysis,replica-3,3014,434,,2048,1146.9999999999998,1949.0,3096.0
empty_pool,least_requests,12,2,req-0008,rag,replica-3,1911,240,,700,3096.0,1118.5,4214.5
empty_pool,token_max,12,2,req-0007,analysis,replica-1,2096,1001,2048,2048,0.0,3686.0,3686.0
empty_pool,token_max,12,2,req-0004,faq,replica-1,126,71,512,512,3686.0,257.66666666666663,3943.6666666666665
empty_pool,token_max,12,2,req-0008,rag,replica-1,1911,240,700,700,3943.6666666666665,1118.5,5062.166666666666
empty_pool,token_max,12,2,req-0010,faq,replica-2,146,59,512,512,0.0,220.99999999999997,220.99999999999997
empty_pool,token_max,12,2,req-0011,faq,replica-2,188,17,512,512,220.99999999999997,88.0,308.99999999999994
empty_pool,token_max,12,2,req-0005,rag,replica-2,1025,220,700,700,308.99999999999994,904.1666666666665,1213.1666666666665
empty_pool,token_max,12,2,req-0002,faq,replica-2,201,98,512,512,1213.1666666666665,360.16666666666663,1573.3333333333333
empty_pool,token_max,12,2,req-0000,rag,replica-2,769,427,700,700,1573.3333333333333,1551.5,3124.833333333333
empty_pool,token_max,12,2,req-0001,faq,replica-3,117,67,512,512,0.0,242.83333333333331,242.83333333333331
empty_pool,token_max,12,2,req-0006,rag,replica-3,1997,127,700,700,242.83333333333331,756.1666666666666,999.0
empty_pool,token_max,12,2,req-0009,faq,replica-3,297,95,512,512,999.0,366.16666666666663,1365.1666666666667
empty_pool,token_max,12,2,req-0003,analysis,replica-3,3014,434,2048,2048,1365.1666666666667,1949.0,3314.166666666667
empty_pool,token_ewma,12,2,req-0007,analysis,replica-1,2096,1001,935,2048,0.0,3686.0,3686.0
empty_pool,token_ewma,12,2,req-0010,faq,replica-2,146,59,78,512,0.0,220.99999999999997,220.99999999999997
empty_pool,token_ewma,12,2,req-0011,faq,replica-2,188,17,78,512,220.99999999999997,88.0,308.99999999999994
empty_pool,token_ewma,12,2,req-0005,rag,replica-2,1025,220,254,700,308.99999999999994,904.1666666666665,1213.1666666666665
empty_pool,token_ewma,12,2,req-0002,faq,replica-2,201,98,78,512,1213.1666666666665,360.16666666666663,1573.3333333333333
empty_pool,token_ewma,12,2,req-0004,faq,replica-2,126,71,78,512,1573.3333333333333,257.66666666666663,1831.0
empty_pool,token_ewma,12,2,req-0000,rag,replica-2,769,427,254,700,1831.0,1551.5,3382.5000000000005
empty_pool,token_ewma,12,2,req-0008,rag,replica-2,1911,240,254,700,3382.5000000000005,1118.5,4501.0
empty_pool,token_ewma,12,2,req-0001,faq,replica-3,117,67,78,512,0.0,242.83333333333331,242.83333333333331
empty_pool,token_ewma,12,2,req-0006,rag,replica-3,1997,127,254,700,242.83333333333331,756.1666666666666,999.0
empty_pool,token_ewma,12,2,req-0009,faq,replica-3,297,95,78,512,999.0,366.16666666666663,1365.1666666666667
empty_pool,token_ewma,12,2,req-0003,analysis,replica-3,3014,434,935,2048,1365.1666666666667,1949.0,3314.166666666667
empty_pool,oracle,12,2,req-0007,analysis,replica-1,2096,1001,1001,2048,0.0,3686.0,3686.0
empty_pool,oracle,12,2,req-0010,faq,replica-2,146,59,59,512,0.0,220.99999999999997,220.99999999999997
empty_pool,oracle,12,2,req-0006,rag,replica-2,1997,127,127,700,220.99999999999997,756.1666666666666,977.1666666666666
empty_pool,oracle,12,2,req-0009,faq,replica-2,297,95,95,512,977.1666666666666,366.16666666666663,1343.3333333333333
empty_pool,oracle,12,2,req-0003,analysis,replica-2,3014,434,434,2048,1343.3333333333333,1949.0,3292.3333333333335
empty_pool,oracle,12,2,req-0008,rag,replica-2,1911,240,240,700,3292.3333333333335,1118.5,4410.833333333334
empty_pool,oracle,12,2,req-0001,faq,replica-3,117,67,67,512,0.0,242.83333333333331,242.83333333333331
empty_pool,oracle,12,2,req-0011,faq,replica-3,188,17,17,512,242.83333333333331,88.0,330.8333333333333
empty_pool,oracle,12,2,req-0005,rag,replica-3,1025,220,220,700,330.8333333333333,904.1666666666665,1234.9999999999998
empty_pool,oracle,12,2,req-0002,faq,replica-3,201,98,98,512,1234.9999999999998,360.16666666666663,1595.1666666666665
empty_pool,oracle,12,2,req-0004,faq,replica-3,126,71,71,512,1595.1666666666665,257.66666666666663,1852.8333333333333
empty_pool,oracle,12,2,req-0000,rag,replica-3,769,427,427,700,1852.8333333333333,1551.5,3404.3333333333335
empty_pool,round_robin,12,3,req-0002,faq,replica-1,196,69,,512,0.0,262.6666666666667,262.6666666666667
empty_pool,round_robin,12,3,req-0011,rag,replica-1,1215,100,,700,262.6666666666667,535.8333333333334,798.5
empty_pool,round_robin,12,3,req-0004,faq,replica-1,117,101,,512,798.5,356.1666666666667,1154.6666666666667
empty_pool,round_robin,12,3,req-0010,faq,replica-1,166,67,,512,1154.6666666666667,251.0,1405.6666666666667
empty_pool,round_robin,12,3,req-0005,analysis,replica-2,3720,753,,2048,0.0,3130.0,3130.0
empty_pool,round_robin,12,3,req-0001,analysis,replica-2,2339,828,,2048,3130.0,3149.833333333333,6279.833333333332
empty_pool,round_robin,12,3,req-0006,analysis,replica-2,3345,617,,2048,6279.833333333332,2614.166666666667,8893.999999999998
empty_pool,round_robin,12,3,req-0008,rag,replica-2,451,43,,700,8893.999999999998,218.50000000000003,9112.499999999998
empty_pool,round_robin,12,3,req-0000,faq,replica-3,233,28,,512,0.0,132.16666666666666,132.16666666666666
empty_pool,round_robin,12,3,req-0003,rag,replica-3,862,366,,700,132.16666666666666,1363.6666666666665,1495.833333333333
empty_pool,round_robin,12,3,req-0009,rag,replica-3,1250,252,,700,1495.833333333333,1048.3333333333333,2544.1666666666665
empty_pool,round_robin,12,3,req-0007,rag,replica-3,1218,393,,700,2544.1666666666665,1513.0000000000002,4057.1666666666665
empty_pool,least_requests,12,3,req-0002,faq,replica-1,196,69,,512,0.0,262.6666666666667,262.6666666666667
empty_pool,least_requests,12,3,req-0011,rag,replica-1,1215,100,,700,262.6666666666667,535.8333333333334,798.5
empty_pool,least_requests,12,3,req-0004,faq,replica-1,117,101,,512,798.5,356.1666666666667,1154.6666666666667
empty_pool,least_requests,12,3,req-0010,faq,replica-1,166,67,,512,1154.6666666666667,251.0,1405.6666666666667
empty_pool,least_requests,12,3,req-0005,analysis,replica-2,3720,753,,2048,0.0,3130.0,3130.0
empty_pool,least_requests,12,3,req-0001,analysis,replica-2,2339,828,,2048,3130.0,3149.833333333333,6279.833333333332
empty_pool,least_requests,12,3,req-0006,analysis,replica-2,3345,617,,2048,6279.833333333332,2614.166666666667,8893.999999999998
empty_pool,least_requests,12,3,req-0008,rag,replica-2,451,43,,700,8893.999999999998,218.50000000000003,9112.499999999998
empty_pool,least_requests,12,3,req-0000,faq,replica-3,233,28,,512,0.0,132.16666666666666,132.16666666666666
empty_pool,least_requests,12,3,req-0003,rag,replica-3,862,366,,700,132.16666666666666,1363.6666666666665,1495.833333333333
empty_pool,least_requests,12,3,req-0009,rag,replica-3,1250,252,,700,1495.833333333333,1048.3333333333333,2544.1666666666665
empty_pool,least_requests,12,3,req-0007,rag,replica-3,1218,393,,700,2544.1666666666665,1513.0000000000002,4057.1666666666665
empty_pool,token_max,12,3,req-0002,faq,replica-1,196,69,512,512,0.0,262.6666666666667,262.6666666666667
empty_pool,token_max,12,3,req-0011,rag,replica-1,1215,100,700,700,262.6666666666667,535.8333333333334,798.5
empty_pool,token_max,12,3,req-0003,rag,replica-1,862,366,700,700,798.5,1363.6666666666665,2162.166666666667
empty_pool,token_max,12,3,req-0004,faq,replica-1,117,101,512,512,2162.166666666667,356.1666666666667,2518.3333333333335
empty_pool,token_max,12,3,req-0009,rag,replica-1,1250,252,700,700,2518.3333333333335,1048.3333333333333,3566.666666666667
empty_pool,token_max,12,3,req-0007,rag,replica-1,1218,393,700,700,3566.666666666667,1513.0000000000002,5079.666666666667
empty_pool,token_max,12,3,req-0005,analysis,replica-2,3720,753,2048,2048,0.0,3130.0,3130.0
empty_pool,token_max,12,3,req-0006,analysis,replica-2,3345,617,2048,2048,3130.0,2614.166666666667,5744.166666666667
empty_pool,token_max,12,3,req-0000,faq,replica-3,233,28,512,512,0.0,132.16666666666666,132.16666666666666
empty_pool,token_max,12,3,req-0001,analysis,replica-3,2339,828,2048,2048,132.16666666666666,3149.833333333333,3281.9999999999995
empty_pool,token_max,12,3,req-0010,faq,replica-3,166,67,512,512,3281.9999999999995,251.0,3532.9999999999995
empty_pool,token_max,12,3,req-0008,rag,replica-3,451,43,700,700,3532.9999999999995,218.50000000000003,3751.4999999999995
empty_pool,token_ewma,12,3,req-0002,faq,replica-1,196,69,78,512,0.0,262.6666666666667,262.6666666666667
empty_pool,token_ewma,12,3,req-0011,rag,replica-1,1215,100,254,700,262.6666666666667,535.8333333333334,798.5
empty_pool,token_ewma,12,3,req-0003,rag,replica-1,862,366,254,700,798.5,1363.6666666666665,2162.166666666667
empty_pool,token_ewma,12,3,req-0004,faq,replica-1,117,101,78,512,2162.166666666667,356.1666666666667,2518.3333333333335
empty_pool,token_ewma,12,3,req-0006,analysis,replica-1,3345,617,935,2048,2518.3333333333335,2614.166666666667,5132.5
