config,top_k,intro_chunks,context_window,max_context_chunks,questions,avg_context_chunks,avg_context_words,avg_unique_documents,first_chunk_gold_rate,context_hit_rate,gold_chunk_share,avg_non_gold_chunks,required_term_coverage,avg_retrieval_ms,selection_score
top_k=10; intro=0; window=2; max=12,10,0,2,12,20,12.0,1370.7,2.8,0.65,0.95,0.445833,6.65,1.0,294.743,0.696405
top_k=7; intro=3; window=1; max=10,7,3,1,10,20,10.0,1156.5,2.25,0.65,0.9,0.485,5.15,1.0,294.743,0.696225
top_k=10; intro=3; window=1; max=10,10,3,1,10,20,10.0,1156.5,2.25,0.65,0.9,0.485,5.15,1.0,294.743,0.696225
top_k=5; intro=5; window=1; max=10,5,5,1,10,20,10.0,1157.75,2.25,0.65,0.9,0.485,5.15,1.0,294.743,0.696204
top_k=7; intro=5; window=1; max=10,7,5,1,10,20,10.0,1157.75,2.15,0.65,0.9,0.485,5.15,1.0,294.743,0.696204
top_k=10; intro=5; window=1; max=10,10,5,1,10,20,10.0,1157.75,2.15,0.65,0.9,0.485,5.15,1.0,294.743,0.696204
top_k=3; intro=5; window=0; max=10,3,5,0,10,20,10.0,1148.4,2.8,0.65,0.9,0.48,5.2,1.0,294.743,0.69486
top_k=7; intro=2; window=1; max=10,7,2,1,10,20,10.0,1149.4,2.35,0.65,0.9,0.48,5.2,1.0,294.743,0.694843
top_k=10; intro=2; window=1; max=10,10,2,1,10,20,10.0,1149.4,2.35,0.65,0.9,0.48,5.2,1.0,294.743,0.694843
top_k=3; intro=3; window=1; max=10,3,3,1,10,20,10.0,1156.3,2.9,0.65,0.9,0.48,5.2,1.0,294.743,0.694728
top_k=5; intro=3; window=1; max=10,5,3,1,10,20,10.0,1160.45,2.35,0.65,0.9,0.48,5.2,1.0,294.743,0.694659
top_k=5; intro=5; window=0; max=8,5,5,0,8,20,8.0,933.95,2.0,0.65,0.85,0.51875,3.85,1.0,294.743,0.694559
top_k=7; intro=5; window=0; max=8,7,5,0,8,20,8.0,933.95,1.95,0.65,0.85,0.51875,3.85,1.0,294.743,0.694559
top_k=3; intro=2; window=0; max=10,3,2,0,10,20,10.0,1155.15,4.1,0.65,0.95,0.42,5.8,1.0,294.743,0.694247
top_k=3; intro=2; window=1; max=12,3,2,1,12,20,11.4,1317.3,3.9,0.65,0.95,0.431515,6.55,1.0,294.743,0.6936
top_k=5; intro=2; window=1; max=10,5,2,1,10,20,10.0,1153.35,2.45,0.65,0.9,0.475,5.25,1.0,294.743,0.693277
top_k=7; intro=2; window=1; max=12,7,2,1,12,20,11.9,1377.4,3.05,0.65,0.95,0.432955,6.75,1.0,294.743,0.69253
top_k=5; intro=5; window=0; max=10,5,5,0,10,20,10.0,1152.55,2.3,0.65,0.9,0.47,5.3,1.0,294.743,0.691791
top_k=7; intro=5; window=0; max=10,7,5,0,10,20,10.0,1152.55,2.2,0.65,0.9,0.47,5.3,1.0,294.743,0.691791
top_k=10; intro=5; window=0; max=10,10,5,0,10,20,10.0,1152.55,2.2,0.65,0.9,0.47,5.3,1.0,294.743,0.691791
top_k=5; intro=2; window=1; max=12,5,2,1,12,20,11.8,1368.9,3.15,0.65,0.95,0.428333,6.75,1.0,294.743,0.691385
top_k=3; intro=1; window=1; max=12,3,1,1,12,20,11.4,1314.35,4.2,0.65,0.95,0.423182,6.65,1.0,294.743,0.691149
top_k=10; intro=2; window=1; max=12,10,2,1,12,20,12.0,1389.4,3.0,0.65,0.95,0.429167,6.85,1.0,294.743,0.691093
top_k=7; intro=0; window=1; max=12,7,0,1,12,20,11.9,1356.75,3.45,0.65,0.95,0.424621,6.85,1.0,294.743,0.690374
top_k=3; intro=2; window=1; max=10,3,2,1,10,20,10.0,1149.3,3.05,0.65,0.9,0.465,5.35,1.0,294.743,0.690345
top_k=5; intro=0; window=1; max=12,5,0,1,12,20,11.8,1348.4,3.8,0.65,0.95,0.42,6.85,1.0,294.743,0.689227
top_k=3; intro=3; window=0; max=12,3,3,0,12,20,11.35,1317.15,4.25,0.65,0.95,0.416288,6.7,1.0,294.743,0.689084
top_k=5; intro=1; window=1; max=12,5,1,1,12,20,11.8,1359.6,3.35,0.65,0.95,0.42,6.85,1.0,294.743,0.68904
top_k=10; intro=0; window=1; max=12,10,0,1,12,20,12.0,1368.75,3.4,0.65,0.95,0.420833,6.95,1.0,294.743,0.688937
top_k=7; intro=1; window=1; max=12,7,1,1,12,20,11.9,1371.8,3.1,0.65,0.95,0.420455,6.9,1.0,294.743,0.688873
top_k=5; intro=5; window=2; max=8,5,5,2,8,20,8.0,929.25,1.85,0.65,0.8,0.55625,3.55,1.0,294.743,0.688388
top_k=7; intro=5; window=2; max=8,7,5,2,8,20,8.0,929.25,1.8,0.65,0.8,0.55625,3.55,1.0,294.743,0.688388
top_k=3; intro=1; window=0; max=10,3,1,0,10,20,10.0,1149.9,4.75,0.65,0.95,0.4,6.0,1.0,294.743,0.688335
top_k=3; intro=5; window=2; max=12,3,5,2,12,20,11.55,1319.55,3.05,0.65,0.9,0.472576,6.15,1.0,294.743,0.68823
top_k=5; intro=2; window=0; max=10,5,2,0,10,20,10.0,1164.6,3.65,0.65,0.95,0.4,6.0,1.0,294.743,0.68809
